1646508273 1857916052 {'positive': 1, 'negative': 0, 'total': 2}
1654732361 1670697373 {'positive': 1, 'negative': 0, 'total': 70}
1654830640 1670697373 {'positive': 0, 'negative': 1, 'total': 65}
1819889865 1670697373 {'positive': 1, 'negative': 0, 'total': 72}
1688970567 1670697373 {'positive': 0, 'negative': 1, 'total': 9}
1689066070 1670697373 {'positive': 1, 'negative': 1, 'total': 75}
1690782185 1670697373 {'positive': 1, 'negative': 0, 'total': 72}
1691026901 1670697373 {'positive': 1, 'negative': 0, 'total': 6}
1690895340 1670697373 {'positive': 1, 'negative': 0, 'total': 22}
1690982963 1670697373 {'positive': 0, 'negative': 1, 'total': 16}
1689118081 1670697373 {'positive': 1, 'negative': 0, 'total': 21}
1690692972 1670697373 {'positive': 0, 'negative': 1, 'total': 53}
1690842560 1670697373 {'positive': 0, 'negative': 1, 'total': 15}
1688984627 1670697373 {'positive': 1, 'negative': 0, 'total': 16}
1807918225 1836654131 {'positive': 1, 'negative': 0, 'total': 13}
1807926431 1836654131 {'positive': 0, 'negative': 1, 'total': 13}
1807926970 1836654131 {'positive': 1, 'negative': 0, 'total': 50}
1807956210 1836654131 {'positive': 0, 'negative': 1, 'total': 8}
1807957273 1836654131 {'positive': 1, 'negative': 0, 'total': 8}
1648485213 1836654131 {'positive': 1, 'negative': 0, 'total': 9}
1807988622 1836654131 {'positive': 1, 'negative': 0, 'total': 2}
1807990200 1836654131 {'positive': 1, 'negative': 0, 'total': 9}
1807986404 1836654131 {'positive': 1, 'negative': 0, 'total': 69}
1807997127 1836654131 {'positive': 1, 'negative': 0, 'total': 24}
1808020857 1836654131 {'positive': 1, 'negative': 0, 'total': 24}
1648567591 1836654131 {'positive': 0, 'negative': 1, 'total': 9}
1808023042 1836654131 {'positive': 0, 'negative': 1, 'total': 12}
1648625963 1836654131 {'positive': 1, 'negative': 0, 'total': 12}
1648640784 1836654131 {'positive': 1, 'negative': 0, 'total': 21}
1808066270 1836654131 {'positive': 1, 'negative': 0, 'total': 4}
1648651432 1836654131 {'positive': 1, 'negative': 0, 'total': 18}
1648684145 1836654131 {'positive': 0, 'negative': 1, 'total': 18}
1819072452 1836654131 {'positive': 1, 'negative': 0, 'total': 22}
1819095097 1836654131 {'positive': 1, 'negative': 0, 'total': 8}
1819104027 1836654131 {'positive': 1, 'negative': 0, 'total': 19}
1819911831 1836654131 {'positive': 1, 'negative': 0, 'total': 70}
1654776153 1836654131 {'positive': 1, 'negative': 0, 'total': 15}
1819943590 1836654131 {'positive': 1, 'negative': 0, 'total': 86}
1654804523 1836654131 {'positive': 1, 'negative': 0, 'total': 53}
1654829807 1836654131 {'positive': 1, 'negative': 0, 'total': 50}
1820037452 1836654131 {'positive': 1, 'negative': 0, 'total': 69}
1820059254 1836654131 {'positive': 1, 'negative': 0, 'total': 16}
1689001851 1836654131 {'positive': 1, 'negative': 0, 'total': 30}
1689108920 1836654131 {'positive': 1, 'negative': 0, 'total': 24}
1692720283 1836654131 {'positive': 1, 'negative': 0, 'total': 16}
1692731663 1836654131 {'positive': 0, 'negative': 1, 'total': 8}
1692874675 1836654131 {'positive': 1, 'negative': 0, 'total': 5}
1648569000 2569352653 {'positive': 1, 'negative': 0, 'total': 38}
1807925440 2175582565 {'positive': 2, 'negative': 0, 'total': 6}
1648523800 2175582565 {'positive': 2, 'negative': 0, 'total': 30}
1648582717 2175582565 {'positive': 1, 'negative': 2, 'total': 24}
1648588334 2175582565 {'positive': 2, 'negative': 0, 'total': 43}
1648606325 2175582565 {'positive': 0, 'negative': 1, 'total': 36}
1648593423 2175582565 {'positive': 2, 'negative': 0, 'total': 43}
1648587525 2175582565 {'positive': 1, 'negative': 0, 'total': 35}
1648640524 2175582565 {'positive': 1, 'negative': 0, 'total': 20}
1648645447 2175582565 {'positive': 1, 'negative': 0, 'total': 20}
1648665304 2175582565 {'positive': 2, 'negative': 0, 'total': 43}
1648684145 2175582565 {'positive': 1, 'negative': 0, 'total': 18}
1648684190 2175582565 {'positive': 1, 'negative': 0, 'total': 10}
1648710363 2175582565 {'positive': 1, 'negative': 0, 'total': 36}
1648752397 2175582565 {'positive': 2, 'negative': 1, 'total': 45}
1648562377 2175582565 {'positive': 1, 'negative': 0, 'total': 49}
1648445175 2175582565 {'positive': 1, 'negative': 0, 'total': 44}
1648603097 2175582565 {'positive': 1, 'negative': 0, 'total': 45}
1820021100 2175582565 {'positive': 0, 'negative': 1, 'total': 2}
1820788824 2175582565 {'positive': 1, 'negative': 0, 'total': 26}
1654701023 2175582565 {'positive': 1, 'negative': 0, 'total': 32}
1689000507 2175582565 {'positive': 0, 'negative': 1, 'total': 17}
1692719245 2175582565 {'positive': 1, 'negative': 0, 'total': 29}
1648588480 1863031871 {'positive': 1, 'negative': 0, 'total': 24}
1807942100 1863031871 {'positive': 1, 'negative': 0, 'total': 43}
1648604971 1863031871 {'positive': 1, 'negative': 0, 'total': 2}
1648606325 1863031871 {'positive': 1, 'negative': 0, 'total': 36}
1648771577 1863031871 {'positive': 1, 'negative': 0, 'total': 23}
1648771254 1863031871 {'positive': 1, 'negative': 0, 'total': 41}
1648775340 1863031871 {'positive': 1, 'negative': 0, 'total': 26}
1654677310 1863031871 {'positive': 1, 'negative': 0, 'total': 44}
1654728294 1863031871 {'positive': 1, 'negative': 0, 'total': 66}
1648436170 1978875447 {'positive': 1, 'negative': 1, 'total': 23}
1648467703 1978875447 {'positive': 0, 'negative': 1, 'total': 18}
1807963637 1978875447 {'positive': 0, 'negative': 1, 'total': 13}
1807991202 1978875447 {'positive': 0, 'negative': 1, 'total': 12}
1808775684 1978875447 {'positive': 0, 'negative': 1, 'total': 15}
1648757871 1978875447 {'positive': 1, 'negative': 0, 'total': 33}
1808804680 1978875447 {'positive': 0, 'negative': 1, 'total': 22}
1808017467 1978875447 {'positive': 1, 'negative': 0, 'total': 21}
1807956417 1978875447 {'positive': 1, 'negative': 0, 'total': 10}
1808065020 1978875447 {'positive': 0, 'negative': 1, 'total': 8}
1654683760 1978875447 {'positive': 2, 'negative': 1, 'total': 104}
1654653142 1978875447 {'positive': 1, 'negative': 0, 'total': 44}
1819025225 1978875447 {'positive': 1, 'negative': 0, 'total': 29}
1820047181 1978875447 {'positive': 2, 'negative': 0, 'total': 52}
1819954430 1978875447 {'positive': 1, 'negative': 0, 'total': 14}
1819897885 1978875447 {'positive': 1, 'negative': 0, 'total': 44}
1654840813 1978875447 {'positive': 1, 'negative': 0, 'total': 20}
1820030401 1978875447 {'positive': 4, 'negative': 1, 'total': 97}
1819947065 1978875447 {'positive': 1, 'negative': 0, 'total': 18}
1654866085 1978875447 {'positive': 1, 'negative': 0, 'total': 70}
1819988057 1978875447 {'positive': 0, 'negative': 1, 'total': 38}
1819983784 1978875447 {'positive': 1, 'negative': 0, 'total': 46}
1654703407 1978875447 {'positive': 1, 'negative': 0, 'total': 115}
1819950463 1978875447 {'positive': 1, 'negative': 0, 'total': 39}
1819903094 1978875447 {'positive': 1, 'negative': 0, 'total': 48}
1654793254 1978875447 {'positive': 2, 'negative': 0, 'total': 190}
1820052421 1978875447 {'positive': 1, 'negative': 0, 'total': 5}
1819122341 1978875447 {'positive': 2, 'negative': 0, 'total': 31}
1820022483 1978875447 {'positive': 1, 'negative': 0, 'total': 19}
1654662022 1978875447 {'positive': 0, 'negative': 1, 'total': 12}
1820014192 1978875447 {'positive': 1, 'negative': 0, 'total': 51}
1819992491 1978875447 {'positive': 0, 'negative': 1, 'total': 23}
1819986360 1978875447 {'positive': 1, 'negative': 1, 'total': 48}
1819025681 1978875447 {'positive': 1, 'negative': 0, 'total': 82}
1820037452 1978875447 {'positive': 1, 'negative': 0, 'total': 69}
1820002801 1978875447 {'positive': 1, 'negative': 0, 'total': 14}
1654680841 1978875447 {'positive': 0, 'negative': 1, 'total': 27}
1820062753 1978875447 {'positive': 1, 'negative': 0, 'total': 23}
1689045672 1978875447 {'positive': 1, 'negative': 0, 'total': 15}
1691050855 1978875447 {'positive': 1, 'negative': 0, 'total': 13}
1690614447 1978875447 {'positive': 1, 'negative': 0, 'total': 23}
1691045381 1978875447 {'positive': 1, 'negative': 0, 'total': 8}
1807997904 2839365622 {'positive': 1, 'negative': 1, 'total': 7}
1648680841 2839365622 {'positive': 1, 'negative': 0, 'total': 24}
1808826562 2839365622 {'positive': 1, 'negative': 0, 'total': 4}
1689130405 2839365622 {'positive': 1, 'negative': 0, 'total': 1}
1808057045 1874640257 {'positive': 1, 'negative': 0, 'total': 29}
1808059631 1874640257 {'positive': 1, 'negative': 0, 'total': 4}
1648561402 1874640257 {'positive': 1, 'negative': 0, 'total': 6}
1648757871 1874640257 {'positive': 1, 'negative': 0, 'total': 33}
1648690775 1874640257 {'positive': 0, 'negative': 1, 'total': 14}
1807996304 1874640257 {'positive': 1, 'negative': 0, 'total': 18}
1808845970 1874640257 {'positive': 1, 'negative': 0, 'total': 9}
1820797740 1874640257 {'positive': 1, 'negative': 0, 'total': 9}
1820029843 1874640257 {'positive': 1, 'negative': 0, 'total': 25}
1819908291 1874640257 {'positive': 0, 'negative': 1, 'total': 36}
1819097882 1874640257 {'positive': 0, 'negative': 1, 'total': 21}
1819019243 1874640257 {'positive': 1, 'negative': 0, 'total': 7}
1654631612 1874640257 {'positive': 1, 'negative': 0, 'total': 6}
1654693175 1874640257 {'positive': 1, 'negative': 0, 'total': 43}
1820012154 1874640257 {'positive': 1, 'negative': 0, 'total': 35}
1819896475 1874640257 {'positive': 2, 'negative': 0, 'total': 92}
1819930497 1874640257 {'positive': 1, 'negative': 0, 'total': 24}
1654837130 1874640257 {'positive': 1, 'negative': 0, 'total': 53}
1654793254 1874640257 {'positive': 1, 'negative': 0, 'total': 190}
1648601487 1680313495 {'positive': 1, 'negative': 0, 'total': 34}
1808043911 1680313495 {'positive': 0, 'negative': 1, 'total': 32}
1648726814 1680313495 {'positive': 4, 'negative': 1, 'total': 32}
1648687772 1680313495 {'positive': 1, 'negative': 0, 'total': 35}
1648736703 1680313495 {'positive': 1, 'negative': 0, 'total': 18}
1648710363 1680313495 {'positive': 2, 'negative': 0, 'total': 36}
1808805444 1680313495 {'positive': 1, 'negative': 0, 'total': 17}
1648421131 1680313495 {'positive': 0, 'negative': 1, 'total': 7}
1648776665 1680313495 {'positive': 1, 'negative': 0, 'total': 17}
1654653637 1680313495 {'positive': 2, 'negative': 0, 'total': 66}
1819091353 1680313495 {'positive': 1, 'negative': 0, 'total': 7}
1654644923 1680313495 {'positive': 1, 'negative': 0, 'total': 33}
1819051837 1680313495 {'positive': 2, 'negative': 0, 'total': 109}
1654745402 1680313495 {'positive': 0, 'negative': 1, 'total': 36}
1654676815 1680313495 {'positive': 1, 'negative': 0, 'total': 178}
1654732361 1680313495 {'positive': 1, 'negative': 0, 'total': 70}
1819941633 1680313495 {'positive': 0, 'negative': 1, 'total': 150}
1654796774 1680313495 {'positive': 1, 'negative': 0, 'total': 71}
1654797581 1680313495 {'positive': 1, 'negative': 0, 'total': 82}
1654730004 1680313495 {'positive': 1, 'negative': 0, 'total': 69}
1654773857 1680313495 {'positive': 0, 'negative': 1, 'total': 126}
1654773762 1680313495 {'positive': 1, 'negative': 0, 'total': 69}
1819887711 1680313495 {'positive': 1, 'negative': 0, 'total': 48}
1654748770 1680313495 {'positive': 0, 'negative': 1, 'total': 3}
1654628822 1680313495 {'positive': 1, 'negative': 0, 'total': 17}
1819114081 1680313495 {'positive': 1, 'negative': 0, 'total': 88}
1819935634 1680313495 {'positive': 0, 'negative': 1, 'total': 55}
1654647262 1680313495 {'positive': 0, 'negative': 1, 'total': 51}
1690932531 1680313495 {'positive': 1, 'negative': 0, 'total': 31}
1691017841 1680313495 {'positive': 1, 'negative': 0, 'total': 8}
1692776317 1680313495 {'positive': 1, 'negative': 0, 'total': 10}
1690923417 1680313495 {'positive': 1, 'negative': 0, 'total': 21}
1648422733 1978967500 {'positive': 1, 'negative': 0, 'total': 34}
1648784271 1978967500 {'positive': 1, 'negative': 0, 'total': 21}
1819018471 1978967500 {'positive': 1, 'negative': 0, 'total': 35}
1819083083 1978967500 {'positive': 0, 'negative': 1, 'total': 30}
1654738827 1978967500 {'positive': 1, 'negative': 0, 'total': 51}
1820029843 1978967500 {'positive': 1, 'negative': 0, 'total': 25}
1688947230 1978967500 {'positive': 0, 'negative': 1, 'total': 9}
1689030171 1978967500 {'positive': 1, 'negative': 0, 'total': 4}
1689115911 1978967500 {'positive': 0, 'negative': 1, 'total': 13}
1689130787 1978967500 {'positive': 0, 'negative': 1, 'total': 10}
1689176967 1978967500 {'positive': 0, 'negative': 1, 'total': 18}
1690624930 1978967500 {'positive': 1, 'negative': 0, 'total': 10}
1690719202 1978967500 {'positive': 0, 'negative': 1, 'total': 11}
1690973854 1978967500 {'positive': 1, 'negative': 0, 'total': 4}
1692805017 1978967500 {'positive': 0, 'negative': 1, 'total': 8}
1807999057 2356423042 {'positive': 1, 'negative': 0, 'total': 22}
1654764004 2356423042 {'positive': 1, 'negative': 0, 'total': 49}
1819091193 2356423042 {'positive': 1, 'negative': 0, 'total': 59}
1690669094 2356423042 {'positive': 1, 'negative': 0, 'total': 12}
1692848731 2356423042 {'positive': 1, 'negative': 0, 'total': 18}
1648750172 1079618190 {'positive': 0, 'negative': 1, 'total': 11}
1648582717 1787920531 {'positive': 0, 'negative': 1, 'total': 24}
1648621602 1787920531 {'positive': 1, 'negative': 0, 'total': 15}
1808804582 1787920531 {'positive': 1, 'negative': 0, 'total': 38}
1648741671 1787920531 {'positive': 1, 'negative': 0, 'total': 40}
1648664373 1787920531 {'positive': 0, 'negative': 1, 'total': 32}
1808852430 1787920531 {'positive': 1, 'negative': 0, 'total': 18}
1648540100 1787920531 {'positive': 1, 'negative': 0, 'total': 16}
1808061682 1787920531 {'positive': 1, 'negative': 0, 'total': 12}
1648748542 1787920531 {'positive': 1, 'negative': 0, 'total': 27}
1819055913 1787920531 {'positive': 1, 'negative': 0, 'total': 24}
1654689255 1787920531 {'positive': 1, 'negative': 0, 'total': 111}
1654703545 1787920531 {'positive': 0, 'negative': 1, 'total': 124}
1819981197 1787920531 {'positive': 1, 'negative': 0, 'total': 96}
1820056094 1787920531 {'positive': 1, 'negative': 0, 'total': 11}
1654682904 1787920531 {'positive': 1, 'negative': 0, 'total': 104}
1820047271 1787920531 {'positive': 4, 'negative': 0, 'total': 79}
1654693390 1787920531 {'positive': 1, 'negative': 0, 'total': 61}
1819894847 1787920531 {'positive': 1, 'negative': 1, 'total': 54}
1654637923 1787920531 {'positive': 1, 'negative': 0, 'total': 22}
1654720103 1787920531 {'positive': 0, 'negative': 1, 'total': 84}
1654686192 1787920531 {'positive': 0, 'negative': 1, 'total': 143}
1654725695 1787920531 {'positive': 0, 'negative': 1, 'total': 99}
1654728294 1787920531 {'positive': 1, 'negative': 0, 'total': 66}
1654732361 1787920531 {'positive': 1, 'negative': 1, 'total': 70}
1654741464 1787920531 {'positive': 1, 'negative': 0, 'total': 117}
1654784075 1787920531 {'positive': 0, 'negative': 1, 'total': 55}
1654816430 1787920531 {'positive': 1, 'negative': 0, 'total': 73}
1654828243 1787920531 {'positive': 0, 'negative': 1, 'total': 118}
1654676623 1787920531 {'positive': 1, 'negative': 0, 'total': 316}
1819049777 1787920531 {'positive': 1, 'negative': 0, 'total': 86}
1654830640 1787920531 {'positive': 0, 'negative': 1, 'total': 65}
1654795904 1787920531 {'positive': 0, 'negative': 1, 'total': 92}
1688953157 1787920531 {'positive': 0, 'negative': 1, 'total': 32}
1689116484 1787920531 {'positive': 0, 'negative': 1, 'total': 18}
1648452834 1640297451 {'positive': 1, 'negative': 0, 'total': 8}
1808005172 1651618343 {'positive': 1, 'negative': 0, 'total': 15}
1808073650 1651618343 {'positive': 0, 'negative': 1, 'total': 6}
1648586213 1651618343 {'positive': 1, 'negative': 0, 'total': 21}
1648607487 1651618343 {'positive': 0, 'negative': 1, 'total': 17}
1648765635 1651618343 {'positive': 0, 'negative': 1, 'total': 53}
1654642262 1651618343 {'positive': 1, 'negative': 0, 'total': 32}
1654677310 1651618343 {'positive': 1, 'negative': 0, 'total': 44}
1654665084 1651618343 {'positive': 1, 'negative': 0, 'total': 54}
1654724491 1651618343 {'positive': 0, 'negative': 1, 'total': 56}
1654742490 1651618343 {'positive': 1, 'negative': 0, 'total': 46}
1819912953 1651618343 {'positive': 0, 'negative': 1, 'total': 24}
1820017757 1651618343 {'positive': 1, 'negative': 0, 'total': 65}
1654871342 1651618343 {'positive': 1, 'negative': 0, 'total': 99}
1654879693 1651618343 {'positive': 0, 'negative': 1, 'total': 89}
1690896494 1651618343 {'positive': 1, 'negative': 0, 'total': 10}
1690982963 1651618343 {'positive': 0, 'negative': 1, 'total': 16}
1689167637 1651618343 {'positive': 1, 'negative': 0, 'total': 51}
1648765635 1691761292 {'positive': 0, 'negative': 1, 'total': 53}
1648541970 1691761292 {'positive': 1, 'negative': 0, 'total': 31}
1807995410 1691761292 {'positive': 1, 'negative': 0, 'total': 11}
1807992172 1691761292 {'positive': 1, 'negative': 0, 'total': 45}
1654728294 1691761292 {'positive': 3, 'negative': 2, 'total': 66}
1819892982 1691761292 {'positive': 3, 'negative': 0, 'total': 91}
1654686192 1691761292 {'positive': 1, 'negative': 0, 'total': 143}
1654676623 1691761292 {'positive': 2, 'negative': 0, 'total': 316}
1820061155 1691761292 {'positive': 0, 'negative': 1, 'total': 59}
1819981995 1691761292 {'positive': 1, 'negative': 0, 'total': 74}
1654799567 1691761292 {'positive': 1, 'negative': 0, 'total': 127}
1654677310 1691761292 {'positive': 1, 'negative': 0, 'total': 44}
1820024082 1691761292 {'positive': 1, 'negative': 0, 'total': 21}
1819045984 1691761292 {'positive': 1, 'negative': 0, 'total': 89}
1819947804 1691761292 {'positive': 0, 'negative': 1, 'total': 114}
1654686373 1691761292 {'positive': 1, 'negative': 0, 'total': 115}
1819941633 1691761292 {'positive': 1, 'negative': 0, 'total': 150}
1820055057 1691761292 {'positive': 1, 'negative': 0, 'total': 14}
1692875904 1691761292 {'positive': 1, 'negative': 0, 'total': 9}
1648683627 1737961042 {'positive': 1, 'negative': 0, 'total': 10}
1648584093 1737961042 {'positive': 1, 'negative': 0, 'total': 6}
1648578525 1737961042 {'positive': 0, 'negative': 1, 'total': 11}
1819909121 1737961042 {'positive': 1, 'negative': 0, 'total': 18}
1654762133 1737961042 {'positive': 1, 'negative': 2, 'total': 53}
1819981995 1737961042 {'positive': 0, 'negative': 1, 'total': 74}
1819978477 1737961042 {'positive': 0, 'negative': 1, 'total': 29}
1654868302 1737961042 {'positive': 1, 'negative': 0, 'total': 37}
1820061155 1737961042 {'positive': 0, 'negative': 1, 'total': 59}
1820029843 1737961042 {'positive': 1, 'negative': 0, 'total': 25}
1690687971 1737961042 {'positive': 1, 'negative': 0, 'total': 6}
1648665304 1787215031 {'positive': 1, 'negative': 0, 'total': 43}
1819025501 1787215031 {'positive': 1, 'negative': 0, 'total': 11}
1654671683 1787215031 {'positive': 1, 'negative': 0, 'total': 64}
1654699920 1787215031 {'positive': 1, 'negative': 0, 'total': 68}
1808023042 2019042223 {'positive': 0, 'negative': 1, 'total': 12}
1648658142 2019042223 {'positive': 1, 'negative': 0, 'total': 27}
1808065362 2019042223 {'positive': 1, 'negative': 0, 'total': 9}
1648767512 2019042223 {'positive': 1, 'negative': 0, 'total': 20}
1819076373 2019042223 {'positive': 1, 'negative': 0, 'total': 13}
1654794233 2019042223 {'positive': 1, 'negative': 0, 'total': 106}
1820041880 2019042223 {'positive': 1, 'negative': 0, 'total': 67}
1690973984 2019042223 {'positive': 0, 'negative': 1, 'total': 3}
1648416505 1942619900 {'positive': 1, 'negative': 0, 'total': 64}
1648770582 1942619900 {'positive': 1, 'negative': 0, 'total': 45}
1807943222 1942619900 {'positive': 1, 'negative': 0, 'total': 14}
1648624434 1942619900 {'positive': 1, 'negative': 0, 'total': 22}
1807926431 1942619900 {'positive': 1, 'negative': 0, 'total': 13}
1654737553 1942619900 {'positive': 0, 'negative': 1, 'total': 79}
1820015641 1942619900 {'positive': 1, 'negative': 0, 'total': 58}
1819138363 1942619900 {'positive': 1, 'negative': 0, 'total': 90}
1654784493 1942619900 {'positive': 1, 'negative': 0, 'total': 38}
1820024533 1942619900 {'positive': 1, 'negative': 0, 'total': 74}
1691045381 1942619900 {'positive': 1, 'negative': 0, 'total': 8}
1689174817 1942619900 {'positive': 1, 'negative': 0, 'total': 11}
1690938420 1942619900 {'positive': 1, 'negative': 0, 'total': 12}
1689126977 1942619900 {'positive': 1, 'negative': 0, 'total': 16}
1648431152 1785078993 {'positive': 1, 'negative': 0, 'total': 23}
1689009417 1785078993 {'positive': 1, 'negative': 0, 'total': 8}
1808021062 1951298162 {'positive': 0, 'negative': 1, 'total': 23}
1808836441 1951298162 {'positive': 3, 'negative': 0, 'total': 12}
1807997902 1951298162 {'positive': 2, 'negative': 0, 'total': 13}
1808040490 1951298162 {'positive': 1, 'negative': 0, 'total': 7}
1648508583 1951298162 {'positive': 1, 'negative': 0, 'total': 7}
1648584093 1951298162 {'positive': 1, 'negative': 0, 'total': 6}
1808070580 1951298162 {'positive': 1, 'negative': 0, 'total': 19}
1819994951 1951298162 {'positive': 1, 'negative': 0, 'total': 19}
1820803121 1951298162 {'positive': 1, 'negative': 0, 'total': 12}
1654871342 1951298162 {'positive': 2, 'negative': 0, 'total': 99}
1819038953 1951298162 {'positive': 1, 'negative': 0, 'total': 34}
1819969737 1951298162 {'positive': 1, 'negative': 0, 'total': 34}
1819082467 1951298162 {'positive': 2, 'negative': 0, 'total': 47}
1819081464 1951298162 {'positive': 1, 'negative': 0, 'total': 48}
1654774703 1951298162 {'positive': 1, 'negative': 0, 'total': 95}
1656257605 1951298162 {'positive': 0, 'negative': 1, 'total': 20}
1692789853 1951298162 {'positive': 1, 'negative': 0, 'total': 3}
1687199063 1951298162 {'positive': 1, 'negative': 0, 'total': 1}
1688986397 1951298162 {'positive': 1, 'negative': 0, 'total': 19}
1690735973 1951298162 {'positive': 1, 'negative': 0, 'total': 14}
1690842560 1951298162 {'positive': 1, 'negative': 0, 'total': 15}
1692750034 1951298162 {'positive': 0, 'negative': 1, 'total': 15}
1690676305 1951298162 {'positive': 1, 'negative': 0, 'total': 19}
1689107917 1951298162 {'positive': 0, 'negative': 1, 'total': 3}
1690752627 1951298162 {'positive': 1, 'negative': 0, 'total': 11}
1692844940 1951298162 {'positive': 1, 'negative': 0, 'total': 32}
1807924895 2901960184 {'positive': 1, 'negative': 0, 'total': 27}
1690694585 2901960184 {'positive': 1, 'negative': 0, 'total': 1}
1689137510 2901960184 {'positive': 1, 'negative': 0, 'total': 13}
1648480757 1640337222 {'positive': 1, 'negative': 1, 'total': 27}
1654763683 1640337222 {'positive': 0, 'negative': 1, 'total': 13}
1654811262 1640337222 {'positive': 0, 'negative': 1, 'total': 12}
1690990017 1640337222 {'positive': 0, 'negative': 1, 'total': 2}
1689174367 1640337222 {'positive': 1, 'negative': 0, 'total': 23}
1689175195 1640337222 {'positive': 0, 'negative': 1, 'total': 44}
1807947680 1372883360 {'positive': 1, 'negative': 0, 'total': 5}
1808011031 1372883360 {'positive': 1, 'negative': 0, 'total': 24}
1648417633 1372883360 {'positive': 2, 'negative': 0, 'total': 198}
1654680417 1372883360 {'positive': 1, 'negative': 0, 'total': 164}
1654760247 1372883360 {'positive': 1, 'negative': 0, 'total': 56}
1819928333 1372883360 {'positive': 1, 'negative': 0, 'total': 128}
1820795605 1372883360 {'positive': 1, 'negative': 0, 'total': 19}
1820795074 1372883360 {'positive': 1, 'negative': 0, 'total': 23}
1688982433 1372883360 {'positive': 0, 'negative': 1, 'total': 15}
1688981003 1372883360 {'positive': 1, 'negative': 0, 'total': 10}
1807983075 2115297822 {'positive': 1, 'negative': 0, 'total': 15}
1654767727 2115297822 {'positive': 1, 'negative': 0, 'total': 22}
1689146401 2115297822 {'positive': 1, 'negative': 0, 'total': 17}
1648598667 1680241201 {'positive': 1, 'negative': 0, 'total': 33}
1648783660 1680241201 {'positive': 1, 'negative': 0, 'total': 9}
1648549503 1680241201 {'positive': 1, 'negative': 0, 'total': 10}
1648683627 1680241201 {'positive': 1, 'negative': 0, 'total': 10}
1654652414 1680241201 {'positive': 1, 'negative': 0, 'total': 33}
1819894847 1680241201 {'positive': 1, 'negative': 0, 'total': 54}
1654788554 1680241201 {'positive': 1, 'negative': 0, 'total': 12}
1654792913 1680241201 {'positive': 2, 'negative': 0, 'total': 88}
1654791141 1680241201 {'positive': 1, 'negative': 0, 'total': 38}
1654643454 1680241201 {'positive': 1, 'negative': 0, 'total': 52}
1819063165 1680241201 {'positive': 1, 'negative': 0, 'total': 91}
1819145124 1680241201 {'positive': 0, 'negative': 1, 'total': 43}
1819935102 1680241201 {'positive': 1, 'negative': 0, 'total': 42}
1654728294 1680241201 {'positive': 2, 'negative': 1, 'total': 66}
1819978732 1680241201 {'positive': 1, 'negative': 0, 'total': 58}
1819989081 1680241201 {'positive': 2, 'negative': 0, 'total': 53}
1820009841 1680241201 {'positive': 1, 'negative': 0, 'total': 33}
1654796687 1680241201 {'positive': 0, 'negative': 1, 'total': 39}
1654783500 1680241201 {'positive': 1, 'negative': 0, 'total': 39}
1654777503 1680241201 {'positive': 2, 'negative': 0, 'total': 99}
1654784493 1680241201 {'positive': 1, 'negative': 0, 'total': 38}
1688979394 1680241201 {'positive': 1, 'negative': 0, 'total': 13}
1689120485 1680241201 {'positive': 1, 'negative': 0, 'total': 21}
1689021453 1680241201 {'positive': 1, 'negative': 0, 'total': 34}
1689171463 1680241201 {'positive': 1, 'negative': 0, 'total': 7}
1690946533 1680241201 {'positive': 1, 'negative': 0, 'total': 12}
1689167592 1680241201 {'positive': 1, 'negative': 0, 'total': 4}
1692752354 1680241201 {'positive': 1, 'negative': 0, 'total': 19}
1648712513 1830442653 {'positive': 1, 'negative': 0, 'total': 10}
1807999057 1830442653 {'positive': 2, 'negative': 1, 'total': 22}
1648745145 1830442653 {'positive': 4, 'negative': 3, 'total': 39}
1648643741 1830442653 {'positive': 2, 'negative': 0, 'total': 43}
1648449967 1830442653 {'positive': 1, 'negative': 0, 'total': 10}
1807910190 1830442653 {'positive': 0, 'negative': 1, 'total': 3}
1648780707 1830442653 {'positive': 1, 'negative': 0, 'total': 23}
1820052963 1830442653 {'positive': 3, 'negative': 0, 'total': 26}
1820002303 1830442653 {'positive': 0, 'negative': 1, 'total': 48}
1819090777 1830442653 {'positive': 1, 'negative': 1, 'total': 9}
1654792824 1830442653 {'positive': 1, 'negative': 0, 'total': 35}
1819097377 1830442653 {'positive': 0, 'negative': 1, 'total': 25}
1819928333 1830442653 {'positive': 2, 'negative': 0, 'total': 128}
1654754463 1830442653 {'positive': 1, 'negative': 0, 'total': 136}
1820059254 1830442653 {'positive': 1, 'negative': 0, 'total': 16}
1654775870 1830442653 {'positive': 1, 'negative': 0, 'total': 22}
1654878765 1830442653 {'positive': 1, 'negative': 0, 'total': 68}
1691036417 1830442653 {'positive': 1, 'negative': 0, 'total': 7}
1687207053 1830442653 {'positive': 2, 'negative': 0, 'total': 5}
1689064123 1830442653 {'positive': 2, 'negative': 0, 'total': 27}
1692751667 1830442653 {'positive': 1, 'negative': 0, 'total': 3}
1689016244 1830442653 {'positive': 3, 'negative': 0, 'total': 13}
1688974433 1830442653 {'positive': 1, 'negative': 0, 'total': 31}
1689038755 1830442653 {'positive': 1, 'negative': 0, 'total': 22}
1690675472 1830442653 {'positive': 1, 'negative': 0, 'total': 1}
1690936281 1830442653 {'positive': 1, 'negative': 0, 'total': 7}
1689156044 1830442653 {'positive': 1, 'negative': 0, 'total': 11}
1692740467 1830442653 {'positive': 0, 'negative': 1, 'total': 25}
